12024-07-11 23:31:16,427 - INFO - Watching for file changes with StatReloader
2024-07-11 23:31:17,399 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\corsheaders\middleware.py first seen with mtime 1715528827.4498305
2024-07-11 23:31:17,400 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\core\wsgi.py first seen with mtime 1715685381.3230581
2024-07-11 23:31:17,401 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\charset_normalizer\models.py first seen with mtime 1715683752.8909185
2024-07-11 23:31:17,402 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\http\__init__.py first seen with mtime 1694627234.357134
2024-07-11 23:31:17,403 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\datetime.py first seen with mtime 1696418556.34946
2024-07-11 23:31:17,403 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\allauth\account\signals.py first seen with mtime 1716297820.5865147
2024-07-11 23:31:17,404 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\contrib\staticfiles\apps.py first seen with mtime 1715685381.2968996
2024-07-11 23:31:17,405 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\rest_framework\schemas\openapi.py first seen with mtime 1715528787.1816792
2024-07-11 23:31:17,405 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\argparse.py first seen with mtime 1712151365.2130725
2024-07-11 23:31:17,407 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\importlib\resources\_itertools.py first seen with mtime 1694627234.6349883
2024-07-11 23:31:17,408 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\rest_framework\utils\model_meta.py first seen with mtime 1715528787.3078148
2024-07-11 23:31:17,409 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\utils\deprecation.py first seen with mtime 1715685381.8194408
2024-07-11 23:31:17,409 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\asyncio\subprocess.py first seen with mtime 1696418555.8247585
2024-07-11 23:31:17,410 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\db\backends\base\client.py first seen with mtime 1715685381.4319227
2024-07-11 23:31:17,410 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\DLLs\_decimal.pyd first seen with mtime 1712151362.8300931
2024-07-11 23:31:17,411 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\bz2.py first seen with mtime 1694627233.879666
2024-07-11 23:31:17,412 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\contrib\admin\helpers.py first seen with mtime 1715685376.179727
2024-07-11 23:31:17,413 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\db\models\fields\related_lookups.py first seen with mtime 1715685381.5373566
2024-07-11 23:31:17,413 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\db\models\functions\datetime.py first seen with mtime 1715685381.542625
2024-07-11 23:31:17,414 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\uritemplate\variable.py first seen with mtime 1715683748.6723845
2024-07-11 23:31:17,414 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\contrib\admin\views\__init__.py first seen with mtime 1715685377.0584707
2024-07-11 23:31:17,415 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\zoneinfo\_tzpath.py first seen with mtime 1694627236.9430666
2024-07-11 23:31:17,416 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\gzip.py first seen with mtime 1694627234.342902
2024-07-11 23:31:17,416 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\email\base64mime.py first seen with mtime 1694627234.0370817
2024-07-11 23:31:17,417 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\contrib\admin\views\main.py first seen with mtime 1715685377.0625205
2024-07-11 23:31:17,418 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\sqlparse\keywords.py first seen with mtime 1715685370.284433
2024-07-11 23:31:17,419 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\DLLs\unicodedata.pyd first seen with mtime 1712151362.5920224
2024-07-11 23:31:17,419 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\unittest\runner.py first seen with mtime 1694627236.8009522
2024-07-11 23:31:17,421 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\core\signals.py first seen with mtime 1715685381.3190475
2024-07-11 23:31:17,421 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\apps\registry.py first seen with mtime 1715685375.615296
2024-07-11 23:31:17,422 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\rest_framework\authtoken\models.py first seen with mtime 1715528787.0291815
2024-07-11 23:31:17,423 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\views\decorators\csrf.py first seen with mtime 1715685381.8697698
2024-07-11 23:31:17,424 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\inspect.py first seen with mtime 1712151367.6624112
2024-07-11 23:31:17,425 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\sqlparse\filters\__init__.py first seen with mtime 1715685370.3093984
2024-07-11 23:31:17,425 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\DLLs\_overlapped.pyd first seen with mtime 1712151364.1798122
2024-07-11 23:31:17,427 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\concurrent\__init__.py first seen with mtime 1694627233.9103842
2024-07-11 23:31:17,428 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\asyncio\format_helpers.py first seen with mtime 1694627233.8013873
2024-07-11 23:31:17,428 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\asyncio\windows_utils.py first seen with mtime 1694627233.8163931
2024-07-11 23:31:17,429 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\copyreg.py first seen with mtime 1694627233.9120693
2024-07-11 23:31:17,430 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\types.py first seen with mtime 1694627236.7853312
2024-07-11 23:31:17,430 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\certifi\__init__.py first seen with mtime 1715683753.4414196
2024-07-11 23:31:17,431 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\heapq.py first seen with mtime 1694627234.3442914
2024-07-11 23:31:17,432 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\utils\asyncio.py first seen with mtime 1715685381.803331
2024-07-11 23:31:17,433 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\requests\__init__.py first seen with mtime 1715683754.1124258
2024-07-11 23:31:17,433 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\views\decorators\debug.py first seen with mtime 1715685381.870947
2024-07-11 23:31:17,434 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\pytz\exceptions.py first seen with mtime 1715774181.5907037
2024-07-11 23:31:17,435 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\contrib\sessions\apps.py first seen with mtime 1715685380.4821358
2024-07-11 23:31:17,436 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\re\__init__.py first seen with mtime 1694627234.9183395
2024-07-11 23:31:17,437 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\core\checks\registry.py first seen with mtime 1715685381.3420267
2024-07-11 23:31:17,438 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\core\handlers\exception.py first seen with mtime 1715685381.3663127
2024-07-11 23:31:17,439 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\subprocess.py first seen with mtime 1712151371.9796488
2024-07-11 23:31:17,440 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\charset_normalizer\legacy.py first seen with mtime 1715683752.884397
2024-07-11 23:31:17,440 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\email\__init__.py first seen with mtime 1694627234.07262
2024-07-11 23:31:17,441 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\asgiref\__init__.py first seen with mtime 1715435337.132068
2024-07-11 23:31:17,441 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\forms\models.py first seen with mtime 1715685381.5669067
2024-07-11 23:31:17,442 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\importlib\resources\readers.py first seen with mtime 1694627234.6349883
2024-07-11 23:31:17,443 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\db\models\constraints.py first seen with mtime 1715685381.5134003
2024-07-11 23:31:17,443 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\contrib\messages\storage\__init__.py first seen with mtime 1715685379.4968984
2024-07-11 23:31:17,444 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\tokenize.py first seen with mtime 1694627236.754089
2024-07-11 23:31:17,446 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\apps\config.py first seen with mtime 1715685375.6142406
2024-07-11 23:31:17,446 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\contrib\contenttypes\fields.py first seen with mtime 1715685377.8702793
2024-07-11 23:31:17,447 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\importlib\metadata\_functools.py first seen with mtime 1694627234.6193635
2024-07-11 23:31:17,448 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\templatetags\tz.py first seen with mtime 1715685381.754149
2024-07-11 23:31:17,448 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\allauth\socialaccount\adapter.py first seen with mtime 1716297821.037292
2024-07-11 23:31:17,449 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\db\backends\mysql\introspection.py first seen with mtime 1715685381.450953
2024-07-11 23:31:17,450 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\db\models\utils.py first seen with mtime 1715685381.5279121
2024-07-11 23:31:17,450 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\colorama\initialise.py first seen with mtime 1717857367.4501338
2024-07-11 23:31:17,450 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\pytz\tzinfo.py first seen with mtime 1715774181.596626
2024-07-11 23:31:17,452 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\MySQLdb\_exceptions.py first seen with mtime 1715772255.2485576
2024-07-11 23:31:17,453 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\base\apps.py first seen with mtime 1716293948.697667
2024-07-11 23:31:17,453 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\contrib\auth\password_validation.py first seen with mtime 1715685377.5416768
2024-07-11 23:31:17,454 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\db\models\manager.py first seen with mtime 1715685381.5213952
2024-07-11 23:31:17,454 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\core\management\sql.py first seen with mtime 1715685381.3826144
